日期,时间,剩余电量,行驶里程,充电日期,充电开始时间,充电结束时间,金额,度数,SOC
3月9日,8:52,92%,64,,,,,,
3月9日,9:29,85%,82,,,,,,
3月9日,18:52,79%,100,,,,,,
3月10日,9:07,79%,100,,,,,,
3月10日,9:40,72%,118,,,,,,
3月11日,9:09,67%,136,,,,,,
3月11日,9:40,60%,155,,,,,,
3月11日,19:10,53%,173,,,,,,
3月12日,9:09,53%,173,,,,,,
3月12日,9:44,46%,192,,,,,,
3月12日,18:26,46%,192,,,,,,
3月12日,18:59,41%,211,,,,,,
3月13日,9:16,40%,212,,,,,,
3月13日,9:42,35%,230,,,,,,
3月13日,18:13,35%,230,,,,,,
3月13日,18:38,30%,247.8,,,,,,
3月14日,12:30,29%,248.6,,,,,,
,,,,3月14日,12:48,14:06,94.07,40.9,30%-99%
3月14日,18:59,98%,249.4,,,,,,
3月14日,19:18,98%,253,,,,,,
3月14日,20:28,97%,257,,,,,,
3月16日,9:11,97%,257,,,,,,
3月16日,9:55,89%,275.2,,,,,,
3月16日,18:11,89%,275.2,,,,,,
3月16日,18:44,84%,293.5,,,,,,
3月17日,9:14,84%,293.5,,,,,,
3月17日,9:43,78%,312.2,,,,,,
3月17日,18:34,78%,312.2,,,,,,
3月17日,19:09,73%,330.1,,,,,,
3月18日,9:12,73%,330.1,,,,,,
3月18日,9:43,67%,348.7,,,,,,
3月18日,18:45,67%,348.7,,,,,,
3月18日,19:20,62%,368.8,,,,,,
3月18日,19:34,61%,370.2,,,,,,
3月20日,8:09,61%,370.2,,,,,,
3月20日,8:48,56%,388.8,,,,,,
3月20日,18:49,54%,394.0 ,,,,,,
3月20日,19:12,50%,412.2,,,,,,
3月22日,13:45,49%,413.1,,,,,,
3月22日,14:00,48%,416.6,,,,,,
,,,,3月22日,14:04,14:46,64.7,28.13,49%-95%
3月22日,15:03,95%,416.6,,,,,,
3月22日,15:28,94%,418.8,,,,,,
3月22日,17:44,91%,430.4,,,,,,
3月23日,8:08,91%,430.4,,,,,,
3月23日,8:50,85%,448.7,,,,,,
3月23日,18:15,85%,448.7,,,,,,
3月23日,18:45,81%,466.7,,,,,,
3月24日,8:16,80%,467.5,,,,,,
3月24日,8:51,75%,485.1,,,,,,
3月24日,18:16,75%,485.1,,,,,,
3月24日,18:47,70%,503.1,,,,,,
3月25日,8:14,70%,503.1,,,,,,
3月25日,8:48,64%,521.4,,,,,,
3月25日,20:47,64%,521.4,,,,,,
3月25日,21:22,59%,539.7,,,,,,
3月26日,8:17,59%,539.7,,,,,,
3月26日,9:06,55%,558.1,,,,,,
3月26日,18:17,55%,558.1,,,,,,
3月26日,18:54,49%,576.1,,,,,,
3月27日,8:12,49%,576.1,,,,,,
3月27日,8:53,44%,594.5,,,,,,
3月27日,18:20,44%,594.5,,,,,,
3月27日,18:54,39%,612.5,,,,,,
3月28日,12:33,39%,612.5,,,,,,
3月28日,13:17,34%,631.6,,,,,,
3月28日,13:25,33%,633.1,,,,,,
3月28日,13:54,30%,644.5,,,,,,
3月28日,16:55,30%,644.5,,,,,,
3月28日,17:09,29%,646.9,,,,,,
,,,,3月28日,17:13,18:06,91.67,39.86,30%-95%
